;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Receita total prevista do Fundeb 2026 - Portaria Interministerial nº 14, de 29 de Dezembro de 2025;;;;;;;;;;;;
;;;;;;;;;;;;
UF;"Código
IBGE";Entidade;Receita da contribuição de estados e municípios ao Fundeb;Complementação VAAF;Complementação VAAT;Complementação VAAR;Complementação da União Total;Total das receitas previstas;;;;
BA;2913457;IGRAPIUNA; 16.616.192,36 ; 5.800.391,06 ; 8.530.961,37 ; 1.632.292,81 ; 15.963.645,24 ; 32.579.837,60 ;;;;
BA;2913507;IGUAI; 19.993.070,70 ; 6.979.193,91 ; 2.068.290,90 ; -   ; 9.047.484,81 ; 29.040.555,51 ;;;;
BA;2913606;ILHEUS; 109.013.972,88 ; 38.054.667,41 ; 9.038.472,07 ; -   ; 47.093.139,48 ; 156.107.112,36 ;;;;
BA;2913705;INHAMBUPE; 44.049.459,55 ; 15.376.813,52 ; 31.216.410,32 ; -   ; 46.593.223,84 ; 90.642.683,39 ;;;;
BA;2913804;IPECAETA; 27.422.131,39 ; 9.572.535,17 ; 21.125.365,97 ; 2.407.351,09 ; 33.105.252,23 ; 60.527.383,62 ;;;;
BA;2913903;IPIAU; 35.096.150,03 ; 12.251.386,51 ; 9.158.314,63 ; -   ; 21.409.701,14 ; 56.505.851,17 ;;;;
BA;2914000;IPIRA; 58.478.571,83 ; 20.413.737,28 ; 32.360.499,41 ; -   ; 52.774.236,69 ; 111.252.808,52 ;;;;
BA;2914109;IPUPIARA; 10.487.181,04 ; 3.660.871,87 ; 5.636.554,33 ; 1.180.118,61 ; 10.477.544,81 ; 20.964.725,85 ;;;;
BA;2914208;IRAJUBA; 9.033.188,47 ; 3.153.311,21 ; 1.583.737,46 ; 870.933,67 ; 5.607.982,34 ; 14.641.170,81 ;;;;
BA;2914307;IRAMAIA; 12.599.784,97 ; 4.398.341,00 ; 5.027.177,68 ; -   ; 9.425.518,68 ; 22.025.303,65 ;;;;
BA;2914406;IRAQUARA; 31.818.362,02 ; 11.107.174,18 ; 21.234.739,24 ; -   ; 32.341.913,42 ; 64.160.275,44 ;;;;
BA;2914505;IRARA; 37.987.754,14 ; 13.260.789,52 ; 29.135.027,78 ; 1.949.527,89 ; 44.345.345,19 ; 82.333.099,33 ;;;;
BA;2914604;IRECE; 66.576.938,82 ; 23.240.720,41 ; 28.445.025,47 ; 7.018.788,62 ; 58.704.534,50 ; 125.281.473,32 ;;;;
BA;2914653;ITABELA; 30.818.934,63 ; 10.758.293,42 ; 11.197.356,23 ; -   ; 21.955.649,65 ; 52.774.584,28 ;;;;
BA;2914703;ITABERABA; 68.438.492,18 ; 23.890.552,64 ; 47.628.610,94 ; -   ; 71.519.163,58 ; 139.957.655,76 ;;;;
BA;2914802;ITABUNA; 112.268.582,10 ; 39.190.788,48 ; 731.828,61 ; -   ; 39.922.617,09 ; 152.191.199,19 ;;;;
BA;2914901;ITACARE; 36.609.122,09 ; 12.779.535,76 ; 20.144.105,22 ; -   ; 32.923.640,98 ; 69.532.763,07 ;;;;
BA;2915007;ITAETE; 19.477.033,62 ; 6.799.055,36 ; 13.021.499,30 ; 1.988.001,63 ; 21.808.556,29 ; 41.285.589,91 ;;;;
BA;2915106;ITAGI; 18.040.453,95 ; 6.297.573,21 ; 1.792.924,59 ; 2.059.873,46 ; 10.150.371,26 ; 28.190.825,21 ;;;;
BA;2915205;ITAGIBA; 19.544.024,26 ; 6.822.440,49 ; 1.267.851,52 ; -   ; 8.090.292,01 ; 27.634.316,27 ;;;;
