;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Receita total prevista do Fundeb 2026 - Portaria Interministerial nº 14, de 29 de Dezembro de 2025;;;;;;;;;;;;
;;;;;;;;;;;;
UF;"Código
IBGE";Entidade;Receita da contribuição de estados e municípios ao Fundeb;Complementação VAAF;Complementação VAAT;Complementação VAAR;Complementação da União Total;Total das receitas previstas;;;;
CE;2304251;CRUZ; 33.469.930,04 ; 17.739.997,44 ; 23.669.303,94 ; 5.121.705,52 ; 46.531.006,90 ; 80.000.936,94 ;;;;
CE;2304269;DEPUTADO IRAPUAN PINHEIRO; 11.366.739,42 ; 6.024.689,27 ; 9.948.165,46 ; 1.734.584,47 ; 17.707.439,20 ; 29.074.178,62 ;;;;
CE;2304277;ERERE; 6.519.416,54 ; 3.455.472,80 ; 3.531.732,01 ; -   ; 6.987.204,81 ; 13.506.621,35 ;;;;
CE;2304285;EUSEBIO; 77.111.927,32 ; 40.871.474,52 ; -   ; 9.894.106,08 ; 50.765.580,60 ; 127.877.507,92 ;;;;
CE;2304301;FARIAS BRITO; 20.938.649,09 ; 11.098.068,65 ; 16.859.711,39 ; 2.236.453,28 ; 30.194.233,32 ; 51.132.882,41 ;;;;
CE;2304350;FORQUILHA; 27.792.274,42 ; 14.730.681,43 ; 24.762.837,45 ; -   ; 39.493.518,88 ; 67.285.793,30 ;;;;
CE;2304400;FORTALEZA; 1.454.940.392,51 ; 771.159.031,38 ; 11.047.217,61 ; -   ; 782.206.248,99 ; 2.237.146.641,50 ;;;;
CE;2304459;FORTIM; 16.030.554,58 ; 8.496.641,52 ; 9.015.106,38 ; 2.259.650,82 ; 19.771.398,72 ; 35.801.953,30 ;;;;
CE;2304509;FRECHEIRINHA; 19.360.780,21 ; 10.261.754,08 ; 15.757.266,05 ; -   ; 26.019.020,13 ; 45.379.800,34 ;;;;
CE;2304608;GENERAL SAMPAIO; 9.397.960,39 ; 4.981.181,41 ; 1.755.541,74 ; -   ; 6.736.723,15 ; 16.134.683,54 ;;;;
CE;2304657;GRACA; 19.722.219,16 ; 10.453.326,82 ; 7.844.244,99 ; 1.164.335,38 ; 19.461.907,19 ; 39.184.126,35 ;;;;
CE;2304707;GRANJA; 61.581.301,16 ; 32.639.809,03 ; 46.687.989,31 ; 7.436.011,54 ; 86.763.809,88 ; 148.345.111,04 ;;;;
CE;2304806;GRANJEIRO; 6.363.809,85 ; 3.372.996,91 ; 4.146.609,95 ; 789.103,26 ; 8.308.710,12 ; 14.672.519,97 ;;;;
CE;2304905;GROAIRAS; 10.687.319,36 ; 5.664.577,66 ; 4.358.068,65 ; 1.357.266,32 ; 11.379.912,63 ; 22.067.231,99 ;;;;
CE;2304954;GUAIUBA; 27.487.042,02 ; 14.568.899,73 ; 24.838.703,56 ; -   ; 39.407.603,29 ; 66.894.645,31 ;;;;
CE;2305001;GUARACIABA DO NORTE; 51.298.530,18 ; 27.189.653,30 ; 41.012.953,23 ; 6.517.259,19 ; 74.719.865,72 ; 126.018.395,90 ;;;;
CE;2305100;GUARAMIRANGA; 7.878.848,19 ; 4.176.009,53 ; 5.127.518,40 ; 853.450,51 ; 10.156.978,44 ; 18.035.826,63 ;;;;
CE;2305209;HIDROLANDIA; 15.863.596,89 ; 8.408.149,28 ; 10.340.202,95 ; 2.055.715,72 ; 20.804.067,95 ; 36.667.664,84 ;;;;
CE;2305233;HORIZONTE; 72.660.740,28 ; 38.512.221,11 ; 41.253.410,54 ; -   ; 79.765.631,65 ; 152.426.371,93 ;;;;
CE;2305266;IBARETAMA; 13.567.332,08 ; 7.191.064,82 ; 8.950.594,73 ; 855.222,07 ; 16.996.881,62 ; 30.564.213,70 ;;;;
CE;2305308;IBIAPINA; 25.887.189,67 ; 13.720.933,32 ; 15.957.138,75 ; -   ; 29.678.072,07 ; 55.565.261,74 ;;;;
CE;2305332;IBICUITINGA; 16.970.995,41 ; 8.995.101,41 ; 12.250.073,97 ; 1.026.807,05 ; 22.271.982,43 ; 39.242.977,84 ;;;;
CE;2305357;ICAPUI; 20.117.934,93 ; 10.663.067,23 ; 5.792.574,52 ; -   ; 16.455.641,75 ; 36.573.576,68 ;;;;
CE;2305407;ICO; 63.019.549,92 ; 33.402.121,02 ; 49.094.288,52 ; 6.388.828,14 ; 88.885.237,68 ; 151.904.787,60 ;;;;
CE;2305506;IGUATU; 74.790.111,68 ; 39.640.847,40 ; 49.777.596,18 ; -   ; 89.418.443,58 ; 164.208.555,26 ;;;;
CE;2305605;INDEPENDENCIA; 22.171.291,40 ; 11.751.403,48 ; 20.589.145,88 ; 2.990.633,17 ; 35.331.182,53 ; 57.502.473,93 ;;;;
CE;2305654;IPAPORANGA; 15.617.664,48 ; 8.277.798,24 ; 13.975.887,12 ; 1.965.408,29 ; 24.219.093,65 ; 39.836.758,13 ;;;;
CE;2305704;IPAUMIRIM; 10.480.665,46 ; 5.555.045,32 ; 4.869.893,55 ; 1.449.909,80 ; 11.874.848,67 ; 22.355.514,13 ;;;;
CE;2305803;IPU; 43.477.635,25 ; 23.044.360,62 ; 28.637.018,93 ; 5.278.136,93 ; 56.959.516,48 ; 100.437.151,73 ;;;;
CE;2305902;IPUEIRAS; 43.352.234,86 ; 22.977.894,91 ; 38.346.295,54 ; 5.959.164,45 ; 67.283.354,90 ; 110.635.589,76 ;;;;
CE;2306009;IRACEMA; 13.063.177,30 ; 6.923.848,71 ; 7.377.305,60 ; -   ; 14.301.154,31 ; 27.364.331,61 ;;;;
CE;2306108;IRAUCUBA; 33.428.818,13 ; 17.718.206,97 ; 25.774.793,69 ; 4.175.309,80 ; 47.668.310,46 ; 81.097.128,59 ;;;;
CE;2306207;ITAICABA; 7.165.016,26 ; 3.797.658,68 ; 4.836.803,10 ; 429.012,23 ; 9.063.474,01 ; 16.228.490,27 ;;;;
CE;2306256;ITAITINGA; 65.907.115,18 ; 34.932.611,24 ; 51.817.137,10 ; 7.725.145,03 ; 94.474.893,37 ; 160.382.008,55 ;;;;
CE;2306306;ITAPAJE; 47.252.769,12 ; 25.045.286,97 ; 37.161.896,28 ; 6.236.332,45 ; 68.443.515,70 ; 115.696.284,82 ;;;;
CE;2306405;ITAPIPOCA; 180.524.110,28 ; 95.682.818,86 ; 178.905.357,16 ; 20.853.807,01 ; 295.441.983,03 ; 475.966.093,31 ;;;;
CE;2306504;ITAPIUNA; 14.786.545,91 ; 7.837.282,19 ; 5.228.113,95 ; 1.930.624,88 ; 14.996.021,02 ; 29.782.566,93 ;;;;
CE;2306553;ITAREMA; 39.003.147,49 ; 20.672.757,17 ; 22.215.285,82 ; 4.831.041,35 ; 47.719.084,34 ; 86.722.231,83 ;;;;
CE;2306603;ITATIRA; 36.088.316,78 ; 19.127.815,52 ; 16.655.761,25 ; -   ; 35.783.576,77 ; 71.871.893,55 ;;;;
CE;2306702;JAGUARETAMA; 17.666.030,37 ; 9.363.489,35 ; 11.111.761,32 ; 1.154.859,63 ; 21.630.110,30 ; 39.296.140,67 ;;;;
CE;2306801;JAGUARIBARA; 14.848.520,83 ; 7.870.130,62 ; 9.927.436,81 ; 941.869,56 ; 18.739.436,99 ; 33.587.957,82 ;;;;
CE;2306900;JAGUARIBE; 38.336.358,79 ; 20.319.340,54 ; 22.661.716,89 ; -   ; 42.981.057,43 ; 81.317.416,22 ;;;;
CE;2307007;JAGUARUANA; 32.414.074,97 ; 17.180.364,77 ; 22.861.199,44 ; 1.899.164,54 ; 41.940.728,75 ; 74.354.803,72 ;;;;
CE;2307106;JARDIM; 26.634.940,48 ; 14.117.262,13 ; 17.889.462,62 ; -   ; 32.006.724,75 ; 58.641.665,23 ;;;;
CE;2307205;JATI; 7.641.070,90 ; 4.049.980,92 ; 1.883.427,14 ; -   ; 5.933.408,06 ; 13.574.478,96 ;;;;
CE;2307254;JIJOCA DE JERICOACOARA; 31.717.926,89 ; 16.811.386,85 ; 19.822.424,76 ; 4.830.796,05 ; 41.464.607,66 ; 73.182.534,55 ;;;;
CE;2307304;JUAZEIRO DO NORTE; 170.384.892,69 ; 90.308.750,44 ; 67.728.833,77 ; -   ; 158.037.584,21 ; 328.422.476,90 ;;;;
CE;2307403;JUCAS; 25.618.224,70 ; 13.578.374,37 ; 18.428.301,70 ; 3.164.168,72 ; 35.170.844,79 ; 60.789.069,49 ;;;;
CE;2307502;LAVRAS DA MANGABEIRA; 21.733.622,33 ; 11.519.426,66 ; 13.361.156,58 ; -   ; 24.880.583,24 ; 46.614.205,57 ;;;;
CE;2307601;LIMOEIRO DO NORTE; 44.543.260,48 ; 23.609.171,74 ; 29.384.249,59 ; 6.004.945,76 ; 58.998.367,09 ; 103.541.627,57 ;;;;
CE;2307635;MADALENA; 26.522.097,60 ; 14.057.452,25 ; 22.590.792,94 ; 3.290.713,86 ; 39.938.959,05 ; 66.461.056,65 ;;;;
CE;2307650;MARACANAU; 226.559.777,71 ; 120.083.007,95 ; 134.835.257,21 ; 15.493.847,17 ; 270.412.112,33 ; 496.971.890,04 ;;;;
CE;2307700;MARANGUAPE; 87.422.312,30 ; 46.336.266,43 ; 61.218.594,49 ; -   ; 107.554.860,92 ; 194.977.173,22 ;;;;
CE;2307809;MARCO; 32.390.547,39 ; 17.167.894,49 ; 22.790.421,27 ; 4.352.299,24 ; 44.310.615,00 ; 76.701.162,39 ;;;;
CE;2307908;MARTINOPOLE; 12.429.092,02 ; 6.587.765,81 ; 6.913.601,52 ; -   ; 13.501.367,33 ; 25.930.459,35 ;;;;
CE;2308005;MASSAPE; 45.095.367,84 ; 23.901.804,06 ; 34.185.289,17 ; 5.402.755,01 ; 63.489.848,24 ; 108.585.216,08 ;;;;
CE;2308104;MAURITI; 45.513.199,90 ; 24.123.266,72 ; 27.146.315,25 ; 5.900.206,66 ; 57.169.788,63 ; 102.682.988,53 ;;;;
CE;2308203;MERUOCA; 16.562.395,23 ; 8.778.531,91 ; 11.000.096,15 ; 2.255.238,18 ; 22.033.866,24 ; 38.596.261,47 ;;;;
CE;2308302;MILAGRES; 23.387.750,58 ; 12.396.160,81 ; 15.181.828,37 ; 2.822.374,39 ; 30.400.363,57 ; 53.788.114,15 ;;;;
CE;2308351;MILHA; 13.112.302,27 ; 6.949.886,32 ; 8.564.372,58 ; 1.907.198,21 ; 17.421.457,11 ; 30.533.759,38 ;;;;
CE;2308377;MIRAIMA; 14.912.195,11 ; 7.903.879,78 ; 11.008.668,78 ; 1.673.124,49 ; 20.585.673,05 ; 35.497.868,16 ;;;;
CE;2308401;MISSAO VELHA; 35.128.999,02 ; 18.619.350,31 ; 23.162.700,62 ; -   ; 41.782.050,93 ; 76.911.049,95 ;;;;
CE;2308500;MOMBACA; 40.749.268,55 ; 21.598.250,10 ; 31.639.263,57 ; -   ; 53.237.513,67 ; 93.986.782,22 ;;;;
CE;2308609;MONSENHOR TABOSA; 20.653.990,95 ; 10.947.191,88 ; 7.245.261,50 ; 2.729.460,06 ; 20.921.913,44 ; 41.575.904,39 ;;;;
CE;2308708;MORADA NOVA; 43.379.289,42 ; 22.992.234,59 ; 6.836.518,46 ; -   ; 29.828.753,05 ; 73.208.042,47 ;;;;
CE;2308807;MORAUJO; 12.169.080,72 ; 6.449.952,56 ; 13.229.811,85 ; 1.364.461,53 ; 21.044.225,94 ; 33.213.306,66 ;;;;
CE;2308906;MORRINHOS; 20.817.815,67 ; 11.034.023,56 ; 13.335.842,54 ; -   ; 24.369.866,10 ; 45.187.681,77 ;;;;
CE;2309003;MUCAMBO; 15.249.681,25 ; 8.082.756,85 ; 10.104.140,25 ; -   ; 18.186.897,10 ; 33.436.578,35 ;;;;
CE;2309102;MULUNGU; 14.880.852,47 ; 7.887.267,30 ; 14.570.579,85 ; 832.841,11 ; 23.290.688,26 ; 38.171.540,73 ;;;;
CE;2309201;NOVA OLINDA; 16.588.761,07 ; 8.792.506,54 ; 13.774.243,69 ; 2.288.580,53 ; 24.855.330,76 ; 41.444.091,83 ;;;;
CE;2309300;NOVA RUSSAS; 34.757.486,57 ; 18.422.438,35 ; 26.957.391,08 ; -   ; 45.379.829,43 ; 80.137.316,00 ;;;;
CE;2309409;NOVO ORIENTE; 33.752.299,77 ; 17.889.661,28 ; 20.668.058,25 ; 4.667.661,27 ; 43.225.380,80 ; 76.977.680,57 ;;;;
CE;2309458;OCARA; 24.818.090,55 ; 13.154.280,94 ; 18.578.459,43 ; -   ; 31.732.740,37 ; 56.550.830,92 ;;;;
CE;2309508;OROS; 19.181.101,78 ; 10.166.519,50 ; 8.219.224,96 ; 2.412.164,12 ; 20.797.908,58 ; 39.979.010,36 ;;;;
CE;2309607;PACAJUS; 60.845.352,51 ; 32.249.735,70 ; 39.661.944,80 ; -   ; 71.911.680,50 ; 132.757.033,01 ;;;;
CE;2309706;PACATUBA; 63.677.474,40 ; 33.750.839,37 ; 43.430.006,96 ; -   ; 77.180.846,33 ; 140.858.320,73 ;;;;
CE;2309805;PACOTI; 13.042.021,11 ; 6.912.635,33 ; 10.271.313,41 ; 1.508.235,05 ; 18.692.183,79 ; 31.734.204,90 ;;;;
CE;2309904;PACUJA; 7.720.226,34 ; 4.091.935,52 ; 1.727.531,66 ; -   ; 5.819.467,18 ; 13.539.693,52 ;;;;
CE;2310001;PALHANO; 8.261.858,14 ; 4.379.015,49 ; 4.745.166,89 ; 536.677,65 ; 9.660.860,03 ; 17.922.718,17 ;;;;
CE;2310100;PALMACIA; 9.857.831,63 ; 5.224.926,00 ; 5.001.060,31 ; 1.254.926,41 ; 11.480.912,72 ; 21.338.744,35 ;;;;
CE;2310209;PARACURU; 42.693.286,92 ; 22.628.634,11 ; 31.343.000,63 ; 5.747.305,53 ; 59.718.940,27 ; 102.412.227,19 ;;;;
CE;2310258;PARAIPABA; 42.683.538,85 ; 22.623.467,35 ; 42.946.673,39 ; 4.890.518,55 ; 70.460.659,29 ; 113.144.198,14 ;;;;
CE;2310308;PARAMBU; 28.191.161,55 ; 14.942.102,75 ; 19.236.662,91 ; 1.855.229,61 ; 36.033.995,27 ; 64.225.156,82 ;;;;
CE;2310407;PARAMOTI; 12.568.166,27 ; 6.661.479,03 ; 9.155.025,02 ; 1.459.259,99 ; 17.275.764,04 ; 29.843.930,31 ;;;;
CE;2310506;PEDRA BRANCA; 40.124.112,01 ; 21.266.899,66 ; 26.458.294,09 ; 5.172.364,49 ; 52.897.558,24 ; 93.021.670,25 ;;;;
CE;2310605;PENAFORTE; 8.821.771,44 ; 4.675.785,18 ; 4.789.361,37 ; 585.493,68 ; 10.050.640,23 ; 18.872.411,67 ;;;;
CE;2310704;PENTECOSTE; 35.437.385,71 ; 18.782.803,87 ; 21.851.837,95 ; 4.533.090,27 ; 45.167.732,09 ; 80.605.117,80 ;;;;
CE;2310803;PEREIRO; 23.056.098,20 ; 12.220.375,80 ; 16.039.800,33 ; 3.093.153,85 ; 31.353.329,98 ; 54.409.428,18 ;;;;
CE;2310852;PINDORETAMA; 28.963.597,42 ; 15.351.515,33 ; 24.868.966,47 ; 3.110.959,53 ; 43.331.441,33 ; 72.295.038,75 ;;;;
CE;2310902;PIQUET CARNEIRO; 15.749.862,64 ; 8.347.866,95 ; 9.994.408,42 ; 2.061.137,38 ; 20.403.412,75 ; 36.153.275,39 ;;;;
CE;2310951;PIRES FERREIRA; 10.713.237,68 ; 5.678.315,09 ; 8.477.726,61 ; 1.450.755,12 ; 15.606.796,82 ; 26.320.034,50 ;;;;
CE;2311009;PORANGA; 18.062.334,89 ; 9.573.541,81 ; 19.382.332,21 ; 2.260.402,69 ; 31.216.276,71 ; 49.278.611,60 ;;;;
CE;2311108;PORTEIRAS; 23.857.582,08 ; 12.645.184,63 ; 21.073.438,87 ; 2.954.844,72 ; 36.673.468,22 ; 60.531.050,30 ;;;;
CE;2311207;POTENGI; 10.889.784,09 ; 5.771.889,62 ; 11.375.927,33 ; 597.576,55 ; 17.745.393,50 ; 28.635.177,59 ;;;;
CE;2311231;POTIRETAMA; 9.748.297,57 ; 5.166.869,90 ; 7.036.491,87 ; 1.222.780,62 ; 13.426.142,39 ; 23.174.439,96 ;;;;
CE;2311264;QUITERIANOPOLIS; 29.611.182,51 ; 15.694.753,50 ; 21.897.186,23 ; 3.550.117,99 ; 41.142.057,72 ; 70.753.240,23 ;;;;
CE;2311306;QUIXADA; 71.303.640,55 ; 37.792.920,36 ; 49.351.973,68 ; 8.751.583,00 ; 95.896.477,04 ; 167.200.117,59 ;;;;
CE;2311355;QUIXELO; 19.119.963,86 ; 10.134.114,70 ; 14.103.765,92 ; -   ; 24.237.880,62 ; 43.357.844,48 ;;;;
CE;2311405;QUIXERAMOBIM; 85.045.037,97 ; 45.076.244,67 ; 71.958.703,62 ; -   ; 117.034.948,29 ; 202.079.986,26 ;;;;
CE;2311504;QUIXERE; 17.281.838,56 ; 9.159.856,96 ; 7.656.009,81 ; -   ; 16.815.866,77 ; 34.097.705,33 ;;;;
CE;2311603;REDENCAO; 28.041.611,30 ; 14.862.836,94 ; 20.583.109,65 ; 3.526.004,23 ; 38.971.950,82 ; 67.013.562,12 ;;;;
CE;2311702;RERIUTABA; 22.311.698,15 ; 11.825.822,99 ; 17.644.384,81 ; 2.603.794,87 ; 32.074.002,67 ; 54.385.700,82 ;;;;
CE;2311801;RUSSAS; 73.267.244,78 ; 38.833.685,43 ; 55.034.015,01 ; -   ; 93.867.700,44 ; 167.134.945,22 ;;;;
CE;2311900;SABOEIRO; 15.050.035,83 ; 7.976.939,20 ; 11.395.045,90 ; -   ; 19.371.985,10 ; 34.422.020,93 ;;;;
CE;2311959;SALITRE; 25.342.287,94 ; 13.432.120,19 ; 24.424.736,72 ; -   ; 37.856.856,91 ; 63.199.144,85 ;;;;
CE;2312205;SANTA QUITERIA; 43.213.969,25 ; 22.904.610,27 ; 33.877.976,51 ; 4.923.857,35 ; 61.706.444,13 ; 104.920.413,38 ;;;;
CE;2312007;SANTANA DO ACARAU; 24.340.179,35 ; 12.900.974,66 ; 12.439.491,52 ; 3.259.324,58 ; 28.599.790,76 ; 52.939.970,11 ;;;;
CE;2312106;SANTANA DO CARIRI; 16.634.353,77 ; 8.816.671,95 ; 10.631.356,77 ; 2.171.053,15 ; 21.619.081,87 ; 38.253.435,64 ;;;;
CE;2312304;SAO BENEDITO; 57.310.595,62 ; 30.376.215,85 ; 52.686.451,93 ; 7.697.538,86 ; 90.760.206,64 ; 148.070.802,26 ;;;;
CE;2312403;SAO GONCALO DO AMARANTE; 75.402.240,13 ; 39.965.292,57 ; -   ; -   ; 39.965.292,57 ; 115.367.532,70 ;;;;
CE;2312502;SAO JOAO DO JAGUARIBE; 5.185.631,98 ; 2.748.529,73 ; 1.892.995,29 ; 327.628,47 ; 4.969.153,49 ; 10.154.785,47 ;;;;
CE;2312601;SAO LUIS DO CURU; 12.908.522,32 ; 6.841.877,24 ; 14.230.294,86 ; 1.432.055,14 ; 22.504.227,24 ; 35.412.749,56 ;;;;
CE;2312700;SENADOR POMPEU; 16.056.600,51 ; 8.510.446,58 ; 6.303.851,72 ; 2.254.671,30 ; 17.068.969,60 ; 33.125.570,11 ;;;;
CE;2312809;SENADOR SA; 11.417.204,00 ; 6.051.436,90 ; 10.033.613,67 ; 1.357.589,34 ; 17.442.639,91 ; 28.859.843,91 ;;;;
CE;2312908;SOBRAL; 183.691.259,54 ; 97.361.496,39 ; 96.417.750,45 ; 28.063.968,20 ; 221.843.215,04 ; 405.534.474,58 ;;;;
CE;2313005;SOLONOPOLE; 16.933.657,80 ; 8.975.311,44 ; 1.322.189,33 ; 2.104.754,42 ; 12.402.255,19 ; 29.335.912,99 ;;;;
CE;2313104;TABULEIRO DO NORTE; 21.179.526,80 ; 11.225.740,56 ; 10.474.357,43 ; 1.344.918,14 ; 23.045.016,13 ; 44.224.542,93 ;;;;
CE;2313203;TAMBORIL; 27.797.125,09 ; 14.733.252,42 ; 21.032.711,62 ; 3.932.244,06 ; 39.698.208,10 ; 67.495.333,19 ;;;;
CE;2313252;TARRAFAS; 7.266.098,73 ; 3.851.235,21 ; 4.900.543,66 ; -   ; 8.751.778,87 ; 16.017.877,60 ;;;;
CE;2313302;TAUA; 63.035.419,97 ; 33.410.532,59 ; 48.480.813,10 ; 7.457.019,88 ; 89.348.365,57 ; 152.383.785,54 ;;;;
CE;2313351;TEJUCUOCA; 27.805.394,47 ; 14.737.635,43 ; 22.412.316,32 ; 3.147.085,72 ; 40.297.037,47 ; 68.102.431,94 ;;;;
CE;2313401;TIANGUA; 88.786.693,39 ; 47.059.426,51 ; 73.101.213,96 ; 11.424.316,95 ; 131.584.957,42 ; 220.371.650,81 ;;;;
CE;2313500;TRAIRI; 64.023.981,16 ; 33.934.497,62 ; 44.998.190,26 ; 8.204.587,30 ; 87.137.275,18 ; 151.161.256,34 ;;;;
CE;2313559;TURURU; 21.415.999,98 ; 11.351.077,95 ; 18.630.020,39 ; -   ; 29.981.098,34 ; 51.397.098,32 ;;;;
CE;2313609;UBAJARA; 41.017.688,27 ; 21.740.520,03 ; 34.190.732,37 ; 4.895.551,32 ; 60.826.803,72 ; 101.844.491,99 ;;;;
CE;2313708;UMARI; 6.704.735,49 ; 3.553.697,01 ; 4.632.838,55 ; 741.569,91 ; 8.928.105,47 ; 15.632.840,96 ;;;;
CE;2313757;UMIRIM; 22.582.742,38 ; 11.969.483,99 ; 21.304.101,68 ; 1.309.640,97 ; 34.583.226,64 ; 57.165.969,02 ;;;;
CE;2313807;URUBURETAMA; 27.113.948,30 ; 14.371.149,65 ; 22.788.231,81 ; 3.093.348,24 ; 40.252.729,70 ; 67.366.678,00 ;;;;
CE;2313906;URUOCA; 16.108.371,15 ; 8.537.886,47 ; 10.138.220,29 ; -   ; 18.676.106,76 ; 34.784.477,91 ;;;;
CE;2313955;VARJOTA; 23.783.598,24 ; 12.605.971,12 ; 13.236.446,08 ; 2.868.332,50 ; 28.710.749,70 ; 52.494.347,94 ;;;;
CE;2314003;VARZEA ALEGRE; 37.147.060,64 ; 19.688.979,32 ; 31.517.606,12 ; 4.959.981,21 ; 56.166.566,65 ; 93.313.627,29 ;;;;
CE;2314102;VICOSA DO CEARA; 83.178.594,80 ; 44.086.977,67 ; 84.958.883,93 ; -   ; 129.045.861,60 ; 212.224.456,40 ;;;;
CE;23;GOVERNO DO ESTADO; 2.681.181.206,96 ; 1.421.100.900,90 ; -   ; -   ; 1.421.100.900,90 ; 4.102.282.107,86 ;;;;
DF;53;GOVERNO DO ESTADO; 3.533.298.761,67 ; -   ; -   ; -   ; -   ; 3.533.298.761,67 ;;;;
ES;3200102;AFONSO CLAUDIO; 33.101.216,82 ; -   ; 5.936.974,38 ; 2.761.764,14 ; 8.698.738,52 ; 41.799.955,34 ;;;;
ES;3200169;AGUA DOCE DO NORTE; 13.333.069,41 ; -   ; 1.095.189,38 ; 1.167.023,41 ; 2.262.212,79 ; 15.595.282,20 ;;;;
ES;3200136;AGUIA BRANCA; 13.069.835,79 ; -   ; 584.675,84 ; 1.065.845,40 ; 1.650.521,24 ; 14.720.357,03 ;;;;
ES;3200201;ALEGRE; 21.117.676,13 ; -   ; 305.142,24 ; 1.748.827,70 ; 2.053.969,94 ; 23.171.646,07 ;;;;
ES;3200300;ALFREDO CHAVES; 18.987.475,23 ; -   ; 206.532,85 ; -   ; 206.532,85 ; 19.194.008,08 ;;;;
ES;3200359;ALTO RIO NOVO; 8.395.379,83 ; -   ; 476.929,47 ; 681.622,84 ; 1.158.552,31 ; 9.553.932,14 ;;;;
ES;3200409;ANCHIETA; 55.336.197,80 ; -   ; -   ; 4.609.054,09 ; 4.609.054,09 ; 59.945.251,89 ;;;;
ES;3200508;APIACA; 8.421.543,95 ; -   ; 665.124,44 ; -   ; 665.124,44 ; 9.086.668,39 ;;;;
ES;3200607;ARACRUZ; 133.378.626,55 ; -   ; -   ; -   ; -   ; 133.378.626,55 ;;;;
ES;3200706;ATILIO VIVACQUA; 18.987.757,53 ; -   ; 3.109.400,46 ; -   ; 3.109.400,46 ; 22.097.157,99 ;;;;
ES;3200805;BAIXO GUANDU; 35.083.047,62 ; -   ; 1.695.539,14 ; -   ; 1.695.539,14 ; 36.778.586,76 ;;;;
ES;3200904;BARRA DE SAO FRANCISCO; 49.765.246,04 ; -   ; 11.029.951,04 ; -   ; 11.029.951,04 ; 60.795.197,08 ;;;;
ES;3201001;BOA ESPERANCA; 17.859.002,50 ; -   ; 1.615.305,09 ; -   ; 1.615.305,09 ; 19.474.307,59 ;;;;
ES;3201100;BOM JESUS DO NORTE; 10.999.746,19 ; -   ; 488.209,34 ; 822.829,14 ; 1.311.038,48 ; 12.310.784,67 ;;;;
ES;3201159;BREJETUBA; 16.829.196,89 ; -   ; 4.540.519,32 ; 650.501,37 ; 5.191.020,69 ; 22.020.217,58 ;;;;
ES;3201209;CACHOEIRO DE ITAPEMIRIM; 208.069.979,83 ; -   ; 33.221.144,17 ; 17.595.606,52 ; 50.816.750,69 ; 258.886.730,52 ;;;;
ES;3201308;CARIACICA; 445.961.303,32 ; -   ; 96.054.947,28 ; -   ; 96.054.947,28 ; 542.016.250,60 ;;;;
ES;3201407;CASTELO; 46.204.480,75 ; -   ; 9.349.324,60 ; 3.589.404,81 ; 12.938.729,41 ; 59.143.210,16 ;;;;
ES;3201506;COLATINA; 132.288.543,91 ; -   ; 6.222.988,88 ; -   ; 6.222.988,88 ; 138.511.532,79 ;;;;
ES;3201605;CONCEICAO DA BARRA; 49.619.559,87 ; -   ; 13.930.620,99 ; -   ; 13.930.620,99 ; 63.550.180,86 ;;;;
ES;3201704;CONCEICAO DO CASTELO; 13.562.411,89 ; -   ; 1.843.481,39 ; 1.151.792,79 ; 2.995.274,18 ; 16.557.686,07 ;;;;
ES;3201803;DIVINO DE SAO LOURENCO; 3.554.292,74 ; -   ; -   ; 339.502,26 ; 339.502,26 ; 3.893.795,00 ;;;;
ES;3201902;DOMINGOS MARTINS; 48.983.492,66 ; -   ; 7.369.116,86 ; -   ; 7.369.116,86 ; 56.352.609,52 ;;;;
ES;3202009;DORES DO RIO PRETO; 8.810.751,67 ; -   ; 2.246.368,19 ; 676.313,81 ; 2.922.682,00 ; 11.733.433,67 ;;;;
ES;3202108;ECOPORANGA; 18.385.174,51 ; -   ; -   ; 1.548.769,62 ; 1.548.769,62 ; 19.933.944,13 ;;;;
ES;3202207;FUNDAO; 22.926.563,92 ; -   ; 267.564,78 ; -   ; 267.564,78 ; 23.194.128,70 ;;;;
ES;3202256;GOVERNADOR LINDENBERG; 11.846.761,13 ; -   ; 4.840.540,11 ; 1.056.306,36 ; 5.896.846,47 ; 17.743.607,60 ;;;;
ES;3202306;GUACUI; 39.309.947,64 ; -   ; 6.807.376,02 ; -   ; 6.807.376,02 ; 46.117.323,66 ;;;;
ES;3202405;GUARAPARI; 178.811.561,48 ; -   ; 14.493.556,20 ; 15.391.479,87 ; 29.885.036,07 ; 208.696.597,55 ;;;;
ES;3202454;IBATIBA; 38.794.347,35 ; -   ; 11.267.774,51 ; -   ; 11.267.774,51 ; 50.062.121,86 ;;;;
ES;3202504;IBIRACU; 10.868.695,32 ; -   ; -   ; -   ; -   ; 10.868.695,32 ;;;;
ES;3202553;IBITIRAMA; 15.487.183,86 ; -   ; 4.999.933,89 ; -   ; 4.999.933,89 ; 20.487.117,75 ;;;;
ES;3202603;ICONHA; 13.108.076,98 ; -   ; -   ; 1.184.284,65 ; 1.184.284,65 ; 14.292.361,63 ;;;;
ES;3202652;IRUPI; 17.035.313,05 ; -   ; 3.810.815,53 ; -   ; 3.810.815,53 ; 20.846.128,58 ;;;;
