ANEXO IV;;;;;;
Portaria Interministerial MEC/MF nº 14, de 29 de dezembro de 2025;;;;;;
Demonstrativo da Distribuição da Complementação da União-VAAT ao Fundeb no Ano de 2026 (art. 16, incisos V a VII da Lei nº 14.113/2020);;;;;;
UF;Ente Federado;Código IBGE; VAAT anterior à Complementação-VAAT (art. 16, IV) (R$) ;" VAAT com a Complementação da União-VAAT
(art. 16, V) (R$) ";" Complementação da União-VAAT
(art. 16, VI) (R$) ";Indicador de Educação Infantil (IEI) - Percentual da Complementação da União-VAAT vinculado à Educação Infantil (art. 16, VII) (%)
ES;CARIACICA;3201308; 8.793,54 ; 10.194,38 ; 96.054.947,28 ;56%
ES;CASTELO;3201407; 8.889,89 ; 10.194,38 ; 9.349.324,60 ;51%
ES;COLATINA;3201506; 9.894,10 ; 10.194,38 ; 6.222.988,88 ;50%
ES;CONCEICAO DA BARRA;3201605; 8.409,07 ; 10.194,38 ; 13.930.620,99 ;47%
ES;CONCEICAO DO CASTELO;3201704; 9.350,12 ; 10.194,38 ; 1.843.481,39 ;47%
ES;DIVINO DE SAO LOURENCO;3201803; 13.735,83 ; 13.735,83 ; -   ;0%
ES;DOMINGOS MARTINS;3201902; 9.227,46 ; 10.194,38 ; 7.369.116,86 ;52%
ES;DORES DO RIO PRETO;3202009; 8.590,28 ; 10.194,38 ; 2.246.368,19 ;54%
ES;ECOPORANGA;3202108; 10.518,26 ; 10.518,26 ; -   ;0%
ES;Espírito Santo;32; 13.554,38 ; 13.554,38 ; -   ;0%
ES;FUNDAO;3202207; 10.120,35 ; 10.194,38 ; 267.564,78 ;45%
ES;GOVERNADOR LINDENBERG;3202256; 7.686,41 ; 10.194,38 ; 4.840.540,11 ;49%
ES;GUACUI;3202306; 9.093,30 ; 10.194,38 ; 6.807.376,02 ;40%
ES;GUARAPARI;3202405; 9.673,53 ; 10.194,38 ; 14.493.556,20 ;49%
ES;IBATIBA;3202454; 8.329,25 ; 10.194,38 ; 11.267.774,51 ;50%
ES;IBIRACU;3202504; 10.883,25 ; 10.883,25 ; -   ;0%
ES;IBITIRAMA;3202553; 8.135,36 ; 10.194,38 ; 4.999.933,89 ;58%
ES;ICONHA;3202603; 10.481,51 ; 10.481,51 ; -   ;0%
ES;IRUPI;3202652; 8.787,49 ; 10.194,38 ; 3.810.815,53 ;52%
ES;ITAGUACU;3202702; 10.151,11 ; 10.194,38 ; 86.633,46 ;52%
ES;ITAPEMIRIM;3202801; 11.320,37 ; 11.320,37 ; -   ;0%
ES;ITARANA;3202900; 9.302,35 ; 10.194,38 ; 1.452.551,61 ;49%
ES;IUNA;3203007; 10.425,12 ; 10.425,12 ; -   ;0%
ES;JAGUARE;3203056; 8.523,04 ; 10.194,38 ; 13.883.143,49 ;49%
ES;JERONIMO MONTEIRO;3203106; 10.345,05 ; 10.345,05 ; -   ;0%
ES;JOAO NEIVA;3203130; 11.707,01 ; 11.707,01 ; -   ;0%
ES;LARANJA DA TERRA;3203163; 8.293,53 ; 10.194,38 ; 4.274.576,47 ;53%
ES;LINHARES;3203205; 10.012,78 ; 10.194,38 ; 6.463.534,57 ;48%
ES;MANTENOPOLIS;3203304; 9.557,44 ; 10.194,38 ; 1.363.082,96 ;55%
ES;MARATAIZES;3203320; 9.597,46 ; 10.194,38 ; 6.772.067,11 ;50%
ES;MARECHAL FLORIANO;3203346; 8.784,44 ; 10.194,38 ; 5.384.972,91 ;50%
ES;MARILANDIA;3203353; 9.480,10 ; 10.194,38 ; 1.572.607,02 ;49%
ES;MIMOSO DO SUL;3203403; 10.307,24 ; 10.307,24 ; -   ;0%
ES;MONTANHA;3203502; 9.054,75 ; 10.194,38 ; 4.768.121,59 ;49%
ES;MUCURICI;3203601; 10.121,98 ; 10.194,38 ; 83.562,55 ;55%
ES;MUNIZ FREIRE;3203700; 9.070,34 ; 10.194,38 ; 4.129.456,45 ;54%
ES;MUQUI;3203809; 9.939,84 ; 10.194,38 ; 533.850,50 ;54%
ES;NOVA VENECIA;3203908; 9.564,43 ; 10.194,38 ; 6.267.127,96 ;52%
ES;PANCAS;3204005; 8.305,80 ; 10.194,38 ; 6.321.856,63 ;56%
ES;PEDRO CANARIO;3204054; 10.037,91 ; 10.194,38 ; 635.287,27 ;50%
ES;PINHEIROS;3204104; 9.036,40 ; 10.194,38 ; 6.358.733,73 ;54%
ES;PIUMA;3204203; 8.968,38 ; 10.194,38 ; 7.358.214,85 ;49%
ES;PONTO BELO;3204252; 9.315,88 ; 10.194,38 ; 1.135.355,18 ;48%
ES;PRESIDENTE KENNEDY;3204302; 13.197,50 ; 13.197,50 ; -   ;0%
ES;RIO BANANAL;3204351; 9.540,13 ; 10.194,38 ; 3.222.747,67 ;51%
ES;RIO NOVO DO SUL;3204401; 9.547,26 ; 10.194,38 ; 1.199.668,21 ;51%
ES;SANTA LEOPOLDINA;3204500; 10.097,12 ; 10.194,38 ; 196.889,37 ;56%
ES;SANTA MARIA DE JETIBA;3204559; 9.518,83 ; 10.194,38 ; 4.485.727,92 ;55%
ES;SANTA TERESA;3204609; 10.423,46 ; 10.423,46 ; -   ;0%
ES;SAO DOMINGOS DO NORTE;3204658; 9.366,65 ; 10.194,38 ; 1.682.976,78 ;55%
ES;SAO GABRIEL DA PALHA;3204708; 9.171,85 ; 10.194,38 ; 5.919.201,23 ;52%
ES;SAO JOSE DO CALCADO;3204807; 8.242,14 ; 10.194,38 ; 5.229.390,30 ;47%
ES;SAO MATEUS;3204906; 9.986,32 ; 10.194,38 ; 4.623.357,90 ;53%
ES;SAO ROQUE DO CANAA;3204955; 8.017,29 ; 10.194,38 ; 4.348.233,80 ;47%
ES;SERRA;3205002; 10.723,26 ; 10.723,26 ; -   ;0%
ES;SOORETAMA;3205010; 9.105,93 ; 10.194,38 ; 8.123.081,03 ;46%
ES;VARGEM ALTA;3205036; 10.334,66 ; 10.334,66 ; -   ;0%
ES;VENDA NOVA DO IMIGRANTE;3205069; 8.068,35 ; 10.194,38 ; 9.195.380,50 ;43%
ES;VIANA;3205101; 9.663,86 ; 10.194,38 ; 9.790.584,11 ;50%
ES;VILA PAVAO;3205150; 8.046,19 ; 10.194,38 ; 4.593.536,86 ;58%
ES;VILA VALERIO;3205176; 8.750,24 ; 10.194,38 ; 5.220.151,84 ;50%
ES;VILA VELHA;3205200; 11.045,79 ; 11.045,79 ; -   ;0%
ES;VITORIA;3205309; 15.938,15 ; 15.938,15 ; -   ;0%
GO;ABADIA DE GOIAS;5200050; 8.406,89 ; 10.194,38 ; 8.421.122,58 ;57%
GO;ABADIANIA;5200100; 14.685,83 ; 14.685,83 ; -   ;0%
GO;ACREUNA;5200134; 12.786,05 ; 12.786,05 ; -   ;0%
GO;ADELANDIA;5200159; 13.640,19 ; 13.640,19 ; -   ;0%
GO;AGUA FRIA DE GOIAS;5200175; 11.659,70 ; 11.659,70 ; -   ;0%
GO;AGUA LIMPA;5200209; 16.569,98 ; 16.569,98 ; -   ;0%
GO;AGUAS LINDAS DE GOIAS;5200258; 8.261,59 ; 10.194,38 ; 62.409.484,08 ;58%
GO;ALEXANIA;5200308; 10.622,52 ; 10.622,52 ; -   ;0%
GO;ALOANDIA;5200506; 17.620,90 ; 17.620,90 ; -   ;0%
GO;ALTO HORIZONTE;5200555; 17.313,52 ; 17.313,52 ; -   ;0%
GO;ALTO PARAISO DE GOIAS;5200605; 11.329,10 ; 11.329,10 ; -   ;0%
GO;ALVORADA DO NORTE;5200803; 10.440,38 ; 10.440,38 ; -   ;0%
GO;AMARALINA;5200829; 15.048,18 ; 15.048,18 ; -   ;0%
GO;AMERICANO DO BRASIL;5200852; 10.526,13 ; 10.526,13 ; -   ;0%
GO;AMORINOPOLIS;5200902; 15.324,22 ; 15.324,22 ; -   ;0%
GO;ANAPOLIS;5201108; 10.967,93 ; 10.967,93 ; -   ;0%
GO;ANHANGUERA;5201207; 20.502,38 ; 20.502,38 ; -   ;0%
GO;ANICUNS;5201306; 11.476,91 ; 11.476,91 ; -   ;0%
GO;APARECIDA DE GOIANIA;5201405; 10.493,62 ; 10.493,62 ; -   ;0%
GO;APARECIDA DO RIO DOCE;5201454; 12.899,93 ; 12.899,93 ; -   ;0%
GO;APORE;5201504; 13.701,07 ; 13.701,07 ; -   ;0%
GO;ARACU;5201603; 13.664,45 ; 13.664,45 ; -   ;0%
GO;ARAGARCAS;5201702; 9.798,28 ; 10.194,38 ; 1.106.922,81 ;50%
GO;ARAGOIANIA;5201801; 10.434,57 ; 10.434,57 ; -   ;0%
GO;ARAGUAPAZ;5202155; 11.040,25 ; 11.040,25 ; -   ;0%
GO;ARENOPOLIS;5202353; 12.774,21 ; 12.774,21 ; -   ;0%
GO;ARUANA;5202502; 10.755,87 ; 10.755,87 ; -   ;0%
GO;AURILANDIA;5202601; 14.659,91 ; 14.659,91 ; -   ;0%
GO;AVELINOPOLIS;5202809; 9.637,67 ; 10.194,38 ; 373.455,71 ;50%
GO;BALIZA;5203104; 15.186,05 ; 15.186,05 ; -   ;0%
GO;BARRO ALTO;5203203; 15.508,86 ; 15.508,86 ; -   ;0%
GO;BELA VISTA DE GOIAS;5203302; 10.262,64 ; 10.262,64 ; -   ;0%
GO;BOM JARDIM DE GOIAS;5203401; 12.251,32 ; 12.251,32 ; -   ;0%
GO;BOM JESUS DE GOIAS;5203500; 11.380,47 ; 11.380,47 ; -   ;0%
GO;BONFINOPOLIS;5203559; 9.993,57 ; 10.194,38 ; 315.313,45 ;56%
GO;BONOPOLIS;5203575; 15.723,02 ; 15.723,02 ; -   ;0%
GO;BRAZABRANTES;5203609; 14.061,33 ; 14.061,33 ; -   ;0%
GO;BRITANIA;5203807; 11.559,84 ; 11.559,84 ; -   ;0%
GO;BURITI ALEGRE;5203906; 9.530,43 ; 10.194,38 ; 1.113.450,70 ;46%
GO;BURITI DE GOIAS;5203939; 10.065,93 ; 10.194,38 ; 73.186,99 ;54%
GO;BURITINOPOLIS;5203962; 12.958,30 ; 12.958,30 ; -   ;0%
GO;CABECEIRAS;5204003; 11.065,30 ; 11.065,30 ; -   ;0%
GO;CACHOEIRA ALTA;5204102; 13.353,92 ; 13.353,92 ; -   ;0%
GO;CACHOEIRA DE GOIAS;5204201; 23.966,47 ; 23.966,47 ; -   ;0%
GO;CACHOEIRA DOURADA;5204250; 11.141,49 ; 11.141,49 ; -   ;0%
GO;CACU;5204300; 12.156,98 ; 12.156,98 ; -   ;0%
GO;CAIAPONIA;5204409; 12.849,19 ; 12.849,19 ; -   ;0%
GO;CALDAS NOVAS;5204508; 11.280,74 ; 11.280,74 ; -   ;0%
GO;CALDAZINHA;5204557; 10.609,39 ; 10.609,39 ; -   ;0%
GO;CAMPESTRE DE GOIAS;5204607; 10.837,58 ; 10.837,58 ; -   ;0%
GO;CAMPINACU;5204656; 11.495,94 ; 11.495,94 ; -   ;0%
GO;CAMPINORTE;5204706; 9.809,70 ; 10.194,38 ; 751.142,62 ;61%
GO;CAMPO ALEGRE DE GOIAS;5204805; 12.880,01 ; 12.880,01 ; -   ;0%
GO;CAMPO LIMPO DE GOIAS;5204854; 8.142,13 ; 10.194,38 ; 3.317.312,28 ;51%
GO;CAMPOS BELOS;5204904; 9.559,23 ; 10.194,38 ; 2.157.045,55 ;52%
GO;CARMO DO RIO VERDE;5205000; 11.570,79 ; 11.570,79 ; -   ;0%
GO;CASTELANDIA;5205059; 12.979,94 ; 12.979,94 ; -   ;0%
GO;CATALAO;5205109; 13.111,75 ; 13.111,75 ; -   ;0%
GO;CATURAI;5205208; 12.773,09 ; 12.773,09 ; -   ;0%
GO;CAVALCANTE;5205307; 9.723,87 ; 10.194,38 ; 842.377,54 ;61%
GO;CERES;5205406; 9.979,39 ; 10.194,38 ; 637.771,24 ;50%
GO;CEZARINA;5205455; 12.246,15 ; 12.246,15 ; -   ;0%
GO;CHAPADAO DO CEU;5205471; 10.998,69 ; 10.998,69 ; -   ;0%
GO;CIDADE OCIDENTAL;5205497; 9.047,08 ; 10.194,38 ; 20.295.704,18 ;56%
GO;COCALZINHO DE GOIAS;5205513; 9.947,70 ; 10.194,38 ; 896.193,17 ;54%
GO;COLINAS DO SUL;5205521; 10.848,36 ; 10.848,36 ; -   ;0%
GO;CORREGO DO OURO;5205703; 14.283,95 ; 14.283,95 ; -   ;0%
GO;CORUMBA DE GOIAS;5205802; 12.942,90 ; 12.942,90 ; -   ;0%
GO;CORUMBAIBA;5205901; 10.329,39 ; 10.329,39 ; -   ;0%
GO;CRISTALINA;5206206; 10.988,58 ; 10.988,58 ; -   ;0%
GO;CRISTIANOPOLIS;5206305; 10.558,49 ; 10.558,49 ; -   ;0%
GO;CRIXAS;5206404; 16.232,31 ; 16.232,31 ; -   ;0%
GO;CROMINIA;5206503; 13.856,27 ; 13.856,27 ; -   ;0%
GO;CUMARI;5206602; 13.436,07 ; 13.436,07 ; -   ;0%
GO;DAMIANOPOLIS;5206701; 11.221,22 ; 11.221,22 ; -   ;0%
GO;DAMOLANDIA;5206800; 11.268,01 ; 11.268,01 ; -   ;0%
GO;DAVINOPOLIS;5206909; 19.479,78 ; 19.479,78 ; -   ;0%
GO;DIORAMA;5207105; 14.928,86 ; 14.928,86 ; -   ;0%
GO;DIVINOPOLIS DE GOIAS;5208301; 10.421,77 ; 10.421,77 ; -   ;0%
GO;DOVERLANDIA;5207253; 11.686,73 ; 11.686,73 ; -   ;0%
GO;EDEALINA;5207352; 12.574,41 ; 12.574,41 ; -   ;0%
GO;EDEIA;5207402; 15.553,35 ; 15.553,35 ; -   ;0%
GO;ESTRELA DO NORTE;5207501; 11.751,61 ; 11.751,61 ; -   ;0%
GO;FAINA;5207535; 12.093,25 ; 12.093,25 ; -   ;0%
GO;FAZENDA NOVA;5207600; 13.616,51 ; 13.616,51 ; -   ;0%
GO;FIRMINOPOLIS;5207808; 11.278,79 ; 11.278,79 ; -   ;0%
GO;FLORES DE GOIAS;5207907; 10.136,64 ; 10.194,38 ; 109.012,28 ;57%
GO;FORMOSA;5208004; 10.885,59 ; 10.885,59 ; -   ;0%
GO;FORMOSO;5208103; 13.833,33 ; 13.833,33 ; -   ;0%
GO;GAMELEIRA DE GOIAS;5208152; 10.051,82 ; 10.194,38 ; 138.939,80 ;55%
GO;GOIANAPOLIS;5208400; 9.789,82 ; 10.194,38 ; 853.107,72 ;54%
GO;GOIANDIRA;5208509; 11.446,37 ; 11.446,37 ; -   ;0%
GO;GOIANESIA;5208608; 9.392,76 ; 10.194,38 ; 9.252.456,76 ;52%
GO;GOIANIA;5208707; 15.837,37 ; 15.837,37 ; -   ;0%
GO;GOIANIRA;5208806; 8.909,26 ; 10.194,38 ; 14.466.624,18 ;57%
GO;GOIAS;5208905; 10.889,48 ; 10.889,48 ; -   ;0%
GO;Goiás;52; 11.005,84 ; 11.005,84 ; -   ;0%
GO;GOIATUBA;5209101; 12.362,27 ; 12.362,27 ; -   ;0%
GO;GOUVELANDIA;5209150; 11.080,09 ; 11.080,09 ; -   ;0%
GO;GUAPO;5209200; 9.909,81 ; 10.194,38 ; 847.072,04 ;56%
GO;GUARAITA;5209291; 16.635,32 ; 16.635,32 ; -   ;0%
GO;GUARANI DE GOIAS;5209408; 14.648,76 ; 14.648,76 ; -   ;0%
GO;GUARINOS;5209457; 20.553,68 ; 20.553,68 ; -   ;0%
GO;HIDROLANDIA;5209705; 9.694,37 ; 10.194,38 ; 2.894.506,75 ;48%
GO;HIDROLINA;5209804; 13.752,04 ; 13.752,04 ; -   ;0%
GO;IACIARA;5209903; 10.432,04 ; 10.432,04 ; -   ;0%
GO;INACIOLANDIA;5209937; 10.753,11 ; 10.753,11 ; -   ;0%
GO;INDIARA;5209952; 10.355,48 ; 10.355,48 ; -   ;0%
GO;INHUMAS;5210000; 11.325,03 ; 11.325,03 ; -   ;0%
GO;IPAMERI;5210109; 11.495,23 ; 11.495,23 ; -   ;0%
GO;IPIRANGA DE GOIAS;5210158; 12.968,54 ; 12.968,54 ; -   ;0%
GO;IPORA;5210208; 10.075,32 ; 10.194,38 ; 547.420,65 ;48%
GO;ISRAELANDIA;5210307; 18.338,38 ; 18.338,38 ; -   ;0%
GO;ITABERAI;5210406; 9.029,17 ; 10.194,38 ; 10.259.531,18 ;55%
GO;ITAGUARI;5210562; 10.878,67 ; 10.878,67 ; -   ;0%
GO;ITAGUARU;5210604; 13.753,93 ; 13.753,93 ; -   ;0%
GO;ITAJA;5210802; 13.203,07 ; 13.203,07 ; -   ;0%
GO;ITAPACI;5210901; 9.879,50 ; 10.194,38 ; 1.067.946,48 ;52%
GO;ITAPIRAPUA;5211008; 12.647,25 ; 12.647,25 ; -   ;0%
GO;ITAPURANGA;5211206; 11.405,88 ; 11.405,88 ; -   ;0%
GO;ITARUMA;5211305; 13.252,45 ; 13.252,45 ; -   ;0%
GO;ITAUCU;5211404; 10.318,08 ; 10.318,08 ; -   ;0%
GO;ITUMBIARA;5211503; 10.428,61 ; 10.428,61 ; -   ;0%
GO;IVOLANDIA;5211602; 17.918,28 ; 17.918,28 ; -   ;0%
GO;JANDAIA;5211701; 12.831,67 ; 12.831,67 ; -   ;0%
GO;JARAGUA;5211800; 10.046,83 ; 10.194,38 ; 877.401,39 ;57%
GO;JATAI;5211909; 12.503,12 ; 12.503,12 ; -   ;0%
GO;JAUPACI;5212006; 14.383,67 ; 14.383,67 ; -   ;0%
GO;JESUPOLIS;5212055; 14.677,23 ; 14.677,23 ; -   ;0%
GO;JOVIANIA;5212105; 10.886,40 ; 10.886,40 ; -   ;0%
GO;JUSSARA;5212204; 12.035,34 ; 12.035,34 ; -   ;0%
GO;LAGOA SANTA;5212253; 16.746,34 ; 16.746,34 ; -   ;0%
GO;LEOPOLDO DE BULHOES;5212303; 10.812,17 ; 10.812,17 ; -   ;0%
GO;LUZIANIA;5212501; 8.754,28 ; 10.194,38 ; 44.832.387,15 ;56%
GO;MAIRIPOTABA;5212600; 16.137,91 ; 16.137,91 ; -   ;0%
GO;MAMBAI;5212709; 9.753,98 ; 10.194,38 ; 556.023,47 ;60%
GO;MARA ROSA;5212808; 13.036,61 ; 13.036,61 ; -   ;0%
GO;MARZAGAO;5212907; 12.062,66 ; 12.062,66 ; -   ;0%
GO;MATRINCHA;5212956; 12.822,81 ; 12.822,81 ; -   ;0%
GO;MAURILANDIA;5213004; 10.122,12 ; 10.194,38 ; 119.713,95 ;56%
GO;MIMOSO DE GOIAS;5213053; 14.101,99 ; 14.101,99 ; -   ;0%
GO;MINACU;5213087; 10.743,98 ; 10.743,98 ; -   ;0%
GO;MINEIROS;5213103; 12.811,74 ; 12.811,74 ; -   ;0%
GO;MOIPORA;5213400; 19.184,94 ; 19.184,94 ; -   ;0%
GO;MONTE ALEGRE DE GOIAS;5213509; 11.433,81 ; 11.433,81 ; -   ;0%
GO;MONTES CLAROS DE GOIAS;5213707; 14.955,13 ; 14.955,13 ; -   ;0%
GO;MONTIVIDIU;5213756; 12.924,03 ; 12.924,03 ; -   ;0%
GO;MONTIVIDIU DO NORTE;5213772; 10.947,70 ; 10.947,70 ; -   ;0%
GO;MORRINHOS;5213806; 11.462,28 ; 11.462,28 ; -   ;0%
GO;MORRO AGUDO DE GOIAS;5213855; 10.473,36 ; 10.473,36 ; -   ;0%
GO;MOSSAMEDES;5213905; 9.449,72 ; 10.194,38 ; 717.567,46 ;51%
GO;MOZARLANDIA;5214002; 10.762,58 ; 10.762,58 ; -   ;0%
GO;MUNDO NOVO;5214051; 11.759,33 ; 11.759,33 ; -   ;0%
GO;MUTUNOPOLIS;5214101; 13.081,54 ; 13.081,54 ; -   ;0%
GO;NAZARIO;5214408; 10.399,63 ; 10.399,63 ; -   ;0%
GO;NEROPOLIS;5214507; 10.302,69 ; 10.302,69 ; -   ;0%
GO;NIQUELANDIA;5214606; 11.472,85 ; 11.472,85 ; -   ;0%
GO;NOVA AMERICA;5214705; 13.127,02 ; 13.127,02 ; -   ;0%
GO;NOVA AURORA;5214804; 16.856,55 ; 16.856,55 ; -   ;0%
GO;NOVA CRIXAS;5214838; 12.725,12 ; 12.725,12 ; -   ;0%
GO;NOVA GLORIA;5214861; 11.489,11 ; 11.489,11 ; -   ;0%
GO;NOVA IGUACU DE GOIAS;5214879; 15.900,28 ; 15.900,28 ; -   ;0%
GO;NOVA ROMA;5214903; 15.854,79 ; 15.854,79 ; -   ;0%
GO;NOVA VENEZA;5215009; 10.641,79 ; 10.641,79 ; -   ;0%
GO;NOVO BRASIL;5215207; 14.749,25 ; 14.749,25 ; -   ;0%
GO;NOVO GAMA;5215231; 9.438,65 ; 10.194,38 ; 9.663.067,56 ;57%
GO;NOVO PLANALTO;5215256; 16.430,77 ; 16.430,77 ; -   ;0%
GO;ORIZONA;5215306; 9.139,59 ; 10.194,38 ; 2.947.387,65 ;52%
GO;OURO VERDE DE GOIAS;5215405; 11.913,87 ; 11.913,87 ; -   ;0%
GO;OUVIDOR;5215504; 15.894,26 ; 15.894,26 ; -   ;0%
GO;PADRE BERNARDO;5215603; 9.761,97 ; 10.194,38 ; 2.574.440,41 ;58%
GO;PALESTINA DE GOIAS;5215652; 17.301,17 ; 17.301,17 ; -   ;0%
GO;PALMEIRAS DE GOIAS;5215702; 8.464,43 ; 10.194,38 ; 9.189.737,12 ;56%
GO;PALMELO;5215801; 19.705,90 ; 19.705,90 ; -   ;0%
GO;PALMINOPOLIS;5215900; 12.920,94 ; 12.920,94 ; -   ;0%
GO;PANAMA;5216007; 17.422,80 ; 17.422,80 ; -   ;0%
GO;PARANAIGUARA;5216304; 9.353,23 ; 10.194,38 ; 994.660,75 ;53%
GO;PARAUNA;5216403; 14.602,66 ; 14.602,66 ; -   ;0%
GO;PEROLANDIA;5216452; 18.918,41 ; 18.918,41 ; -   ;0%
GO;PETROLINA DE GOIAS;5216809; 14.715,71 ; 14.715,71 ; -   ;0%
GO;PILAR DE GOIAS;5216908; 16.390,72 ; 16.390,72 ; -   ;0%
GO;PIRACANJUBA;5217104; 12.812,70 ; 12.812,70 ; -   ;0%
GO;PIRANHAS;5217203; 11.717,61 ; 11.717,61 ; -   ;0%
GO;PIRENOPOLIS;5217302; 11.365,22 ; 11.365,22 ; -   ;0%
GO;PIRES DO RIO;5217401; 12.225,29 ; 12.225,29 ; -   ;0%
GO;PLANALTINA;5217609; 7.997,55 ; 10.194,38 ; 57.337.081,79 ;55%
GO;PONTALINA;5217708; 11.098,60 ; 11.098,60 ; -   ;0%
GO;PORANGATU;5218003; 11.201,77 ; 11.201,77 ; -   ;0%
GO;PORTEIRAO;5218052; 12.861,87 ; 12.861,87 ; -   ;0%
GO;PORTELANDIA;5218102; 12.393,65 ; 12.393,65 ; -   ;0%
GO;POSSE;5218300; 10.193,50 ; 10.194,38 ; 4.708,40 ;56%
GO;PROFESSOR JAMIL;5218391; 13.322,57 ; 13.322,57 ; -   ;0%
GO;QUIRINOPOLIS;5218508; 11.413,56 ; 11.413,56 ; -   ;0%
GO;RIALMA;5218607; 9.598,11 ; 10.194,38 ; 1.128.135,98 ;35%
GO;RIANAPOLIS;5218706; 10.824,59 ; 10.824,59 ; -   ;0%
GO;RIO QUENTE;5218789; 11.374,00 ; 11.374,00 ; -   ;0%
GO;RIO VERDE;5218805; 12.498,09 ; 12.498,09 ; -   ;0%
GO;RUBIATABA;5218904; 10.168,73 ; 10.194,38 ; 73.448,62 ;48%
GO;SANTA BARBARA DE GOIAS;5219100; 11.183,36 ; 11.183,36 ; -   ;0%
GO;SANTA CRUZ DE GOIAS;5219209; 21.945,09 ; 21.945,09 ; -   ;0%
GO;SANTA FE DE GOIAS;5219258; 15.544,09 ; 15.544,09 ; -   ;0%
GO;SANTA HELENA DE GOIAS;5219308; 9.834,69 ; 10.194,38 ; 1.677.743,34 ;52%
GO;SANTA ISABEL;5219357; 16.162,20 ; 16.162,20 ; -   ;0%
GO;SANTA RITA DO ARAGUAIA;5219407; 11.105,01 ; 11.105,01 ; -   ;0%
GO;SANTA RITA DO NOVO DESTINO;5219456; 17.999,97 ; 17.999,97 ; -   ;0%
GO;SANTA ROSA DE GOIAS;5219506; 13.118,87 ; 13.118,87 ; -   ;0%
GO;SANTA TEREZA DE GOIAS;5219605; 13.277,75 ; 13.277,75 ; -   ;0%
GO;SANTA TEREZINHA DE GOIAS;5219704; 13.684,39 ; 13.684,39 ; -   ;0%
GO;SANTO ANTONIO DA BARRA;5219712; 13.118,46 ; 13.118,46 ; -   ;0%
GO;SANTO ANTONIO DE GOIAS;5219738; 11.815,19 ; 11.815,19 ; -   ;0%
GO;SANTO ANTONIO DO DESCOBERTO;5219753; 9.547,07 ; 10.194,38 ; 7.599.990,82 ;60%
GO;SAO DOMINGOS;5219803; 10.869,15 ; 10.869,15 ; -   ;0%
GO;SAO FRANCISCO DE GOIAS;5219902; 11.283,16 ; 11.283,16 ; -   ;0%
GO;SAO JOAO DA PARAUNA;5220058; 20.626,70 ; 20.626,70 ; -   ;0%
GO;SAO JOAO DALIANCA;5220009; 10.715,03 ; 10.715,03 ; -   ;0%
GO;SAO LUIS DE MONTES BELOS;5220108; 11.334,23 ; 11.334,23 ; -   ;0%
GO;SAO LUIZ DO NORTE;5220157; 12.545,99 ; 12.545,99 ; -   ;0%
GO;SAO MIGUEL DO ARAGUAIA;5220207; 11.549,13 ; 11.549,13 ; -   ;0%
GO;SAO MIGUEL DO PASSA QUATRO;5220264; 12.753,31 ; 12.753,31 ; -   ;0%
GO;SAO PATRICIO;5220280; 16.707,10 ; 16.707,10 ; -   ;0%
GO;SAO SIMAO;5220405; 12.948,70 ; 12.948,70 ; -   ;0%
GO;SENADOR CANEDO;5220454; 10.538,84 ; 10.538,84 ; -   ;0%
GO;SERRANOPOLIS;5220504; 13.370,48 ; 13.370,48 ; -   ;0%
GO;SILVANIA;5220603; 11.008,16 ; 11.008,16 ; -   ;0%
GO;SIMOLANDIA;5220686; 11.728,15 ; 11.728,15 ; -   ;0%
GO;SITIO DABADIA;5220702; 12.363,27 ; 12.363,27 ; -   ;0%
GO;TAQUARAL DE GOIAS;5221007; 10.920,08 ; 10.920,08 ; -   ;0%
GO;TERESINA DE GOIAS;5221080; 12.448,74 ; 12.448,74 ; -   ;0%
GO;TEREZOPOLIS DE GOIAS;5221197; 11.210,40 ; 11.210,40 ; -   ;0%
GO;TRES RANCHOS;5221304; 12.852,68 ; 12.852,68 ; -   ;0%
GO;TRINDADE;5221403; 9.654,82 ; 10.194,38 ; 10.637.880,56 ;55%
GO;TROMBAS;5221452; 11.290,25 ; 11.290,25 ; -   ;0%
GO;TURVANIA;5221502; 9.491,37 ; 10.194,38 ; 532.473,23 ;56%
GO;TURVELANDIA;5221551; 13.362,36 ; 13.362,36 ; -   ;0%
GO;UIRAPURU;5221577; 14.083,22 ; 14.083,22 ; -   ;0%
GO;URUACU;5221601; 9.855,86 ; 10.194,38 ; 1.863.314,95 ;51%
GO;URUANA;5221700; 10.887,16 ; 10.887,16 ; -   ;0%
GO;URUTAI;5221809; 14.515,54 ; 14.515,54 ; -   ;0%
GO;VALPARAISO DE GOIAS;5221858; 9.229,46 ; 10.194,38 ; 31.252.414,37 ;56%
GO;VARJAO;5221908; 14.592,49 ; 14.592,49 ; -   ;0%
GO;VIANOPOLIS;5222005; 11.591,82 ; 11.591,82 ; -   ;0%
GO;VICENTINOPOLIS;5222054; 10.732,63 ; 10.732,63 ; -   ;0%
GO;VILA BOA;5222203; 12.510,80 ; 12.510,80 ; -   ;0%
GO;VILA PROPICIO;5222302; 11.412,78 ; 11.412,78 ; -   ;0%
MA;ACAILANDIA;2100055; 8.296,37 ; 10.194,38 ; 50.538.625,10 ;54%
MA;AFONSO CUNHA;2100105; 7.656,72 ; 10.194,38 ; 10.308.372,25 ;57%
